ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,author,url,typedby,checkedby,notes,source
65,Kusaie,kosr1238,,kos,,,,,Blust from: Lee (1976),https://abvd.shh.mpg.de/austronesian/language.php?id=65,Debasish Roy,Simon Greenhill,"Lee, Kee-dong. 1976. Kusaiean-English Dictionary. University of Hawaii Press, Honolulu.",61642
66,Kwaio,kwai1243,,kwd,,,,,Blust from: Keesing (1975),https://abvd.shh.mpg.de/austronesian/language.php?id=66,Penny Keenan,Simon Greenhill,"Keesing, R.M. (1975). Kwaio Dictionary. Canberra: Australian National University",127160
67,Lamogai (Mulakaino),lamo1244,,lmg,,,,,"David J. Brunn, Mike Mikolavich, Informant: Rapi",https://abvd.shh.mpg.de/austronesian/language.php?id=67,Peng Du,Simon Greenhill,Batiuling Village,Brunn-67-2005
68,Lau,lauu1247,,llu,,,,,Blust from: Fox (1974),https://abvd.shh.mpg.de/austronesian/language.php?id=68,Simon Greenhill,Simon Greenhill,"Fox, C. E. (1974). Lau Dictionary with English Index. Australian National University Press: Canberra.",82675
69,Leipon,leip1237,,lek,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=69,Penny Keenan,Simon Greenhill,,Blust-69-2005
71,Levei,kheh1237,,tlx,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=71,Debasish Roy,Simon Greenhill,,Blust-71-2005
72,Likum,liku1243,,lib,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=72,Penny Keenan,Simon Greenhill,,Blust-72-2005
73,Loniu,loni1238,,los,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=73,Peng Du,Simon Greenhill,,Blust-73-2005
74,Lou,louu1245,,loj,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=74,Penny Keenan,Simon Greenhill,,Blust-74-2005
76,Nêlêmwa,kuma1276,,nee,,,,,Isabelle Bril,https://abvd.shh.mpg.de/austronesian/language.php?id=76,Isabelle Bril,,,Bril-76-2005
77,Yapese,yape1248,,yap,,,,,"Blust, from Jensen, Corrections from Keira Ballantyne",https://abvd.shh.mpg.de/austronesian/language.php?id=77,Peng Du,Simon Greenhill,,20421
79,Mussau,muss1246,,emi,,,,,Blust (1984),https://abvd.shh.mpg.de/austronesian/language.php?id=79,Simon Greenhill,Simon Greenhill,"Blust, R. (1984). A Mussau vocabulary with phonological notes. Papers in New Guinea Linguistics 23, 159-208.",92079
82,Maleu,male1289,,mgl,,,,,Author Unknown,https://abvd.shh.mpg.de/austronesian/language.php?id=82,Penny Keenan,Simon Greenhill,,Anonymous-82-2005
85,Maori,maor1246,,mri,,,,,Bruce Biggs,https://abvd.shh.mpg.de/austronesian/language.php?id=85,Simon Greenhill,Simon Greenhill,,Biggs-85-2005
87,Marovo,maro1244,,mvo,,,,,"Blust, from Tryon & Hackman (1983)",https://abvd.shh.mpg.de/austronesian/language.php?id=87,Penny Keenan,Simon Greenhill,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",85830
89,Mekeo,meke1243,,mek,,,,,Andrew Kavana,https://abvd.shh.mpg.de/austronesian/language.php?id=89,Simon Greenhill,Simon Greenhill,,Kavana-89-2005
91,Mengen,meng1267,,mee,,,,,Dan Rath,https://abvd.shh.mpg.de/austronesian/language.php?id=91,Peng Du,Simon Greenhill,East New Britain,Rath-91-2005
93,Minyaifuin (Gebe),gebe1237,,gei,,,,,"Blust, from Grace",https://abvd.shh.mpg.de/austronesian/language.php?id=93,Penny Keenan,Simon Greenhill,S.W. of Waigeo,GraceNB
94,Misima,misi1243,,mpx,,,,,Malcolm Ross,https://abvd.shh.mpg.de/austronesian/language.php?id=94,Peng Du,Simon Greenhill,,Ross-94-2005
96,Nauna,naun1237,,ncn,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=96,Debasish Roy,Simon Greenhill,,Blust-96-2005
97,Nauru,naur1243,,nau,,,,,"R. Blust, from Kaysser",https://abvd.shh.mpg.de/austronesian/language.php?id=97,Debasish Roy,Simon Greenhill,,kayser1993a
98,Nehan Hape,neha1247,,nsn,,,,,Bertha Quista Kenneth,https://abvd.shh.mpg.de/austronesian/language.php?id=98,Peng Du,Simon Greenhill,,Kenneth-98-2005
99,Nengone,neng1238,,nen,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=99,Penny Keenan,Simon Greenhill,,Blust-99-2005
102,Nggela,gela1263,,nlg,,,,,"Blust, From Fox",https://abvd.shh.mpg.de/austronesian/language.php?id=102,Simon Greenhill,Simon Greenhill,"Fox, C.E. (1955). A dictionary of the Nggela language (Florida, British Solomon Islands). Unity Press, Auckland.

some data from Ivens via Pawley",68998
103,Nguna,nort2836,,llp,,,,,Albert Schütz and Jack Tavimasoe,https://abvd.shh.mpg.de/austronesian/language.php?id=103,Debasish Roy,Simon Greenhill,,schuetz1969a;schuetz1969b
106,Numfor,biak1248,,bhw,,,,,"Blust, from: van Hasselt & van Hasselt (1947)",https://abvd.shh.mpg.de/austronesian/language.php?id=106,Debasish Roy,Simon Greenhill,"van Hasselt, J.L. & van Hasselt, F. J. F. (1947). Noemfoorschwoordenboek. Amsterdam: N.V. Drukkerij enUitgervijJ. H.de Bussy.",27061
108,Paamese (South),paam1238,,pma,,,,,T. Crowley,https://abvd.shh.mpg.de/austronesian/language.php?id=108,Peng Du,Simon Greenhill,,Crowley-108-2005
113,Raga,hano1246,,lml,,,,,D.S. Walsh,https://abvd.shh.mpg.de/austronesian/language.php?id=113,Peng Du,Simon Greenhill,,Walsh-113-2005
116,Rotuman,rotu1241,,rtm,,,,,Hans Schmidt,https://abvd.shh.mpg.de/austronesian/language.php?id=116,Peng Du,Simon Greenhill,,Schmidt-116-2005
117,Roviana,rovi1238,,rug,,,,,Blust from: Waterhouse (1949),https://abvd.shh.mpg.de/austronesian/language.php?id=117,Peng Du,Simon Greenhill,"Waterhouse, J.H.L. (1949). A Roviana and English Dictionary, With English-Roviana Index and List of Natural History Objects and Appendix of Old Customs. Revised and enlarged by L. M. Jones. Sydney: Epworth Printing and Publishing House.",319882
118,Samoan,samo1305,,smo,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=118,Debasish Roy,Simon Greenhill,,Blust-118-2005
120,"Ambrym, South-East",sout2859,,tvk,,,,,"Blust, from: Parker (1970)",https://abvd.shh.mpg.de/austronesian/language.php?id=120,Peng Du,Simon Greenhill,"Parker, G.J. (1970). Southeast Ambrym dictionary. Pacific Lingustics, C-17: Canberra",d_Parker_Southeast-Ambrym
121,Seimat,seim1238,,ssg,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=121,Debasish Roy,Simon Greenhill,,Blust-121-2005
123,Sengseng,seng1281,,ssz,,,,,A. Chowning,https://abvd.shh.mpg.de/austronesian/language.php?id=123,Penny Keenan,Simon Greenhill,"Chowning, A. (1996) Relations among languages of West New Britain: an assessment of recent theories and evidence. Pp. 7-62 In M.D. Ross, Ed. Studies in Languages of New Britain and New Ireland. 1: Austronesian Languages of the North New Guinea Cluster in Northwestern New Britain. Pacific Linguistics, C-135.",152885
126,Sobei,sobe1238,,sob,,,,,"Blust, from Grace fieldnotes and J. Sterner 1975",https://abvd.shh.mpg.de/austronesian/language.php?id=126,Peng Du,Simon Greenhill,,GraceNB;144702
128,Rurutuan,ruru1237,,aut,,,,,David Meyer,https://abvd.shh.mpg.de/austronesian/language.php?id=128,David Meyer,,"Rurutuan has, and continues to be, heavily influenced by Tahitian.  Most of the data was elicited in 1990.  Ethnologue identifies Rurutuan as a dialect of Austral (Ethnologue code: AUT).",Meyer-128-2005
129,Tabar,mand1440,,tbf,,,,,Malcolm Ross,https://abvd.shh.mpg.de/austronesian/language.php?id=129,Peng Du,Simon Greenhill,,Ross-129-2005
131,Tangga,tang1348,,hrc,,,,,"Blust, from: Bell (1977)",https://abvd.shh.mpg.de/austronesian/language.php?id=131,Penny Keenan,Simon Greenhill,"Bell, F.L.S. (1977). Tanga-English, English-Tanga Dictionary. Sydney, University of Sydney.",43084
132,Tarpia,tarp1240,,tpf,,,,,"Blust, from Grace Notebooks",https://abvd.shh.mpg.de/austronesian/language.php?id=132,Peng Du,Simon Greenhill,,GraceNB
135,Tigak,tiga1245,,tgc,,,,,"Blust, from: Beaumont (1979)",https://abvd.shh.mpg.de/austronesian/language.php?id=135,Penny Keenan,Simon Greenhill,"Beaumont, Clive H. (1979). The Tigak language of New Ireland. Canberra: Dept. of Linguistics, Research School of Pacific Studies, Australian National University.",301176
136,Tongan,tong1325,,ton,,,,,"Blust, from: Churchward (1959)",https://abvd.shh.mpg.de/austronesian/language.php?id=136,Debasish Roy,Simon Greenhill,"Churchward, C.M. (1959). Tongan dictionary. Oxford University Press: London",117207
139,Vaghua,vagh1249,,tva,,,,,"Blust, from Tryon & Hackman (1983)",https://abvd.shh.mpg.de/austronesian/language.php?id=139,Peng Du,Simon Greenhill,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",85830
140,Vitu,mudu1242,,wiv,,,,,Malcolm Ross,https://abvd.shh.mpg.de/austronesian/language.php?id=140,Debasish Roy,Simon Greenhill,"Items extracted from René van den Berg and Peter Bachet, (2006) Vitu grammar sketch (Ukarumpa: Summer Institute of Linguistics)",Ross-140-2005
141,Wampar,wamp1247,,lbq,,,,,"Blust, from Holzknecht",https://abvd.shh.mpg.de/austronesian/language.php?id=141,Penny Keenan,Simon Greenhill,,158598
142,Waropen,waro1242,,wrp,,,,,Held (1942),https://abvd.shh.mpg.de/austronesian/language.php?id=142,Peng Du,Simon Greenhill,"Held, G. J. 1942. Grammatica van het Waropensch. Verhandelingen van het Koninklijk Bataviaasch Genootschap van Kunsten en Wetenschappen, deel LXXVII, Eerstestuk. Den Haag: Martinus Nijhoff",61752
145,Windesi Wandamen,wand1267,,wad,,,,,"Blust, from Van Balen, & Anceaux",https://abvd.shh.mpg.de/austronesian/language.php?id=145,Peng Du,Simon Greenhill,"v is [β]. Van Balen's materials may be reliable (collected in the first half of the 20th century), but Anceaux relies on second-hand sources and transcriptions, so while general word shapes are accurate details may be off (ie b for β, etc).",121185;van1915a
146,Wogeo,woge1237,,woc,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=146,Peng Du,Simon Greenhill,,Blust-146-2005
148,Wuvulu,wuvu1239,,wuv,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=148,Simon Greenhill,Simon Greenhill,,Blust-148-2005
149,Anejom (Aneityum),anei1239,,aty,,,,,John Lynch,https://abvd.shh.mpg.de/austronesian/language.php?id=149,Peng Du,Simon Greenhill,,Lynch-149-2005
152,Pukapuka,puka1242,,pkp,,,,,Mary & Kevin Salisbury,https://abvd.shh.mpg.de/austronesian/language.php?id=152,Mary Salisbury,Mary Salisbury,"*s > y (y = ð)
*f > w",Salisbury-152-2005
155,Tikopia,tiko1237,,tkp,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=155,Simon Greenhill,Simon Greenhill,,POLLEX
156,Futuna-Aniwa,futu1245,,fut,,,,,"Kenneth Fakamuri, POLLEX 2002 (Bruce Biggs & Ross Clark)",https://abvd.shh.mpg.de/austronesian/language.php?id=156,Penny Keenan,Simon Greenhill,,POLLEX
159,Kilivila,kili1267,,kij,,,,,Eprem T. Moguna,https://abvd.shh.mpg.de/austronesian/language.php?id=159,Debasish Roy,Simon Greenhill,Trobriand Isl.,Moguna-159-2005
162,Lenakel,lena1238,,tnl,,,,,John Lynch,https://abvd.shh.mpg.de/austronesian/language.php?id=162,Peng Du,Simon Greenhill,/ marks non-penultimate stress,Lynch-162-2005
164,Magori (South East Papua),mago1248,,zgr,,,,,Tom Dutton,https://abvd.shh.mpg.de/austronesian/language.php?id=164,Peng Du,Simon Greenhill,,Dutton-164-2005
165,Maisin,mais1250,,mbq,,,,,John Davani,https://abvd.shh.mpg.de/austronesian/language.php?id=165,Debasish Roy,Simon Greenhill,,Davani-165-2005
168,Manam,mana1295,,mva,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=168,Penny Keenan,Simon Greenhill,,Blust-168-2005
171,Lamusong,lamu1255,,lbv,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=171,Penny Keenan,Simon Greenhill,,Blust-171-2005
178,Patpatar,patp1243,,gfk,,,,,Sios Ekonia Mitir,https://abvd.shh.mpg.de/austronesian/language.php?id=178,Debasish Roy,Simon Greenhill,,Mitir-178-2005
179,Ponapean,pohn1238,,pon,,,,,"Blust, from: Rehg & Sohl (1979)",https://abvd.shh.mpg.de/austronesian/language.php?id=179,Simon Greenhill,Simon Greenhill,"Rehg, K.L. & Sohl, D.G. (1979). Ponapean-English Dictionary. Pali Language Texts. University of Hawaii Press, Honolulu.",158369
182,Ririo,riri1237,,rri,,,,,D.C. Laycock,https://abvd.shh.mpg.de/austronesian/language.php?id=182,Debasish Roy,Simon Greenhill,[Choiseul Island],Laycock-182-2005
187,Teop,teop1238,,tio,,,,,Ruth Saovana Spriggs,https://abvd.shh.mpg.de/austronesian/language.php?id=187,Debasish Roy,Simon Greenhill,,Spriggs-187-2005
191,Varisi,vari1239,,vrs,,,,,"Blust, from Tryon & Hackman (1983)",https://abvd.shh.mpg.de/austronesian/language.php?id=191,Penny Keenan,Simon Greenhill,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",85830
196,Dehu,dehu1237,,dhv,,,,,"Blust, from Tryon & Hackman (1983)",https://abvd.shh.mpg.de/austronesian/language.php?id=196,Simon Greenhill,Simon Greenhill,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",85830
206,Rennellese,mung1271,,mnv,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=206,Simon Greenhill,Simon Greenhill,,POLLEX
207,As,asss1237,,asz,,,,,"Blust, from Grace",https://abvd.shh.mpg.de/austronesian/language.php?id=207,Penny Keenan,Simon Greenhill,,GraceNB
210,"Futuna, East",east2447,,fud,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=210,Simon Greenhill,Simon Greenhill,,POLLEX
212,Jawe,jawe1237,,jaz,,,,,"Blust, from: Haudricourt and Ozanne-Rivierre (1982)",https://abvd.shh.mpg.de/austronesian/language.php?id=212,Debasish Roy,Simon Greenhill,"Haudricourt, A.-G., & Ozanne-Rivierre, F. (1982). Dictionnaire thématique des langues de la région de Hienghène (Nouvelle-Calédonie) : Pije, Fwâi, Nemi, Jawe. Paris: SELAF.",122134
213,Kwara'ae (Solomon Islands'),kwar1239,,kwf,,,,,David Gegeo,https://abvd.shh.mpg.de/austronesian/language.php?id=213,Peng Du,Simon Greenhill,,Gegeo-213-2005
217,Kapingamarangi,kapi1249,,kpg,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=217,Simon Greenhill,Simon Greenhill,,POLLEX
219,Molima,moli1248,,mox,,,,,"Blust, from Chowning",https://abvd.shh.mpg.de/austronesian/language.php?id=219,Simon Greenhill,Simon Greenhill,,Chowning-219-2005
220,Roro,waim1251,,rro,,,,,Matilda Miria-Tairea,https://abvd.shh.mpg.de/austronesian/language.php?id=220,Debasish Roy,Simon Greenhill,,Miria-Tairea-220-2005
222,Ubir,ubir1237,,ubr,,,,,Malcolm Ross,https://abvd.shh.mpg.de/austronesian/language.php?id=222,Penny Keenan,Simon Greenhill,,Ross-222-2005
223,To'ambaita,toab1237,,mlu,,,,,Frank Lichtenberk and Lawrence Fo'ana'ota,https://abvd.shh.mpg.de/austronesian/language.php?id=223,Debasish Roy,Simon Greenhill,,Foanaota-223-2005
225,Taiof,sapo1253,,sps,,,,,Malcolm Ross,https://abvd.shh.mpg.de/austronesian/language.php?id=225,Peng Du,Simon Greenhill,,Ross-225-2005
227,Suau,suau1242,,swp,,,,,"Blust, from Cooper (1975)",https://abvd.shh.mpg.de/austronesian/language.php?id=227,Debasish Roy,Simon Greenhill,"Cooper, R.E. (1975). Coastal Suau: A Preliminary Study of Internal Relationships. In T.E. Dutton (ed.) Studies in Languages of Central and South-East Papua. Pacific Linguistics Series C No. 29. Canberra: Australian National University.

3 pencilled forms from Capell, 1943",162411
228,"Tanna, Southwest",sout2869,,nwi,,,,,John Lynch,https://abvd.shh.mpg.de/austronesian/language.php?id=228,Peng Du,Simon Greenhill,Complex Dialect Chain,Lynch-228-2005
229,Emae,emae1237,,mmw,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=229,Simon Greenhill,Simon Greenhill,,POLLEX
230,Sakao (Port-Olry),saka1289,,sku,,,,,Jacques Guy,https://abvd.shh.mpg.de/austronesian/language.php?id=230,Debasish Roy,Simon Greenhill,,Guy-230-2005
231,Numbami (Siboma),numb1247,,sij,,,,,Joel Bradshaw,https://abvd.shh.mpg.de/austronesian/language.php?id=231,Peng Du,Simon Greenhill,,Bradshaw-231-2005
234,Zabana (Kia),zaba1237,,kji,,,,,"Blust, from Tryon & Hackman (1983)",https://abvd.shh.mpg.de/austronesian/language.php?id=234,Peng Du,Simon Greenhill,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",85830
235,Penrhyn,penr1237,,pnh,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=235,Simon Greenhill,Simon Greenhill,,POLLEX
238,Luangiua,onto1237,,ojv,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=238,Simon Greenhill,Simon Greenhill,,POLLEX
239,Mangareva,mang1401,,mrv,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=239,Simon Greenhill,Simon Greenhill,"These are  primarily a mix of items from Tregear and Rensch with corrections from Mary Walworth's fieldwork (mostly corrected orthography)
*s , *f > glottal stop",POLLEX
242,Ifira-Mele (Mele-Fila),mele1250,,mxe,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=242,Simon Greenhill,Simon Greenhill,AKA Mele-Fila in Pollex,POLLEX
243,Sikaiana,sika1261,,sky,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=243,Simon Greenhill,Simon Greenhill,,POLLEX
244,Takuu,taku1257,,nho,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=244,Simon Greenhill,Simon Greenhill,,POLLEX
245,Tokelau,toke1240,,tkl,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=245,Simon Greenhill,Simon Greenhill,,POLLEX
246,Tuamotu,tuam1242,,pmt,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=246,Simon Greenhill,Simon Greenhill,,POLLEX
247,Niue,niue1239,,niu,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=247,Simon Greenhill,Simon Greenhill,,POLLEX
253,Anuta,anut1237,,aud,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=253,Simon Greenhill,Simon Greenhill,Additional Data taken from Blust's ACD,POLLEX
258,"Uvea, East",wall1257,,wls,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=258,Simon Greenhill,Simon Greenhill,,POLLEX
259,"Uvea, West",west2516,,uve,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=259,Simon Greenhill,Simon Greenhill,,POLLEX
264,Rapanui (Easter Island),rapa1244,,rap,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=264,Simon Greenhill,Simon Greenhill,,POLLEX
281,Lakalai,naka1262,,nak,,,,,A. Chowning,https://abvd.shh.mpg.de/austronesian/language.php?id=281,Simon Greenhill,Simon Greenhill,"Chowning, A. (1996) Relations among languages of West New Britain: an assessment of recent theories and evidence. Pp. 7-62 In M.D. Ross, Ed. Studies in Languages of New Britain and New Ireland. 1: Austronesian Languages of the North New Guinea Cluster in Northwestern New Britain. Pacific Linguistics, C-135.",152885
282,Kove,kove1237,,kvc,,,,,A. Chowning,https://abvd.shh.mpg.de/austronesian/language.php?id=282,Simon Greenhill,Simon Greenhill,"Chowning, A. (1996) Relations among languages of West New Britain: an assessment of recent theories and evidence. Pp. 7-62 In M.D. Ross, Ed. Studies in Languages of New Britain and New Ireland. 1: Austronesian Languages of the North New Guinea Cluster in Northwestern New Britain. Pacific Linguistics, C-135.",152885
285,Amara,amar1272,,aie,,,,,Thurston (1996),https://abvd.shh.mpg.de/austronesian/language.php?id=285,Simon Greenhill,Simon Greenhill,"Thurston, W.R. (1996). Amara: An Austronesian language of Northwestern New Britain. In Ross, M.D. Studies in Languages of New Britain and New Ireland. Canberra: Pacific Linguistics",100250
287,Aria,mouk1239,,mwh,,,,,Thurston (1996),https://abvd.shh.mpg.de/austronesian/language.php?id=287,Simon Greenhill,Simon Greenhill,"Thurston, W.R. (1996). The Bibling Languages of Northwestern New Britain. In Ross, M.D. (1996). Studies in Languages of New Britain and New Ireland. Canberra: Pacific Linguistics",8526
322,South Efate,sout2856,,erk,,,,,Nick Thieberger,https://abvd.shh.mpg.de/austronesian/language.php?id=322,Nick Thieberger,Nick Thieberger,,101432
